Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Genre,Duration,streaming platform,Original Record Label & Catalog No.,Suggested Filename,Search,id
1/8/2011,2011,85,B.o.B,B.o.B,I Am The Champion,I Am the Champion,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",3:54,Spotify,RebelRock/Grand Hustle Digital,B.o.B--I Am the Champion (2011),https://www.google.com/search?q=%22B.o.B%22+%22I Am the Champion%22&ie=utf-8&oe=utf-8,3923
1/8/2011,2011,95,Kid Cudi Featuring MGMT & Ratatat,Kid Cudi,Pursuit Of Happiness (Nightmare),Pursuit of Happiness (Nightmare),"['dance pop', 'pop']",4:55,Spotify,Dream On/G.O.O.D. Digital,Kid Cudi--Pursuit of Happiness (Nightmare) (2011),https://www.google.com/search?q=%22Kid Cudi%22+%22Pursuit of Happiness%22&ie=utf-8&oe=utf-8,3924
1/8/2011,2011,99,Train,Train,Shake Up Christmas,Shake Up Christmas,"['atl hip hop', 'pop rap', 'rap', 'trap']",3:52,Spotify,Columbia Digital,Train--Shake Up Christmas (2011),https://www.google.com/search?q=%22Train%22+%22Shake Up Christmas%22&ie=utf-8&oe=utf-8,3925
1/15/2011,2011,34,Sara Evans,Sara Evans,A Little Bit Stronger,A Little Bit Stronger,"['hopebeat', 'indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock', 'stomp and holler']",5:04,Spotify,RCA Nashville Digital,Sara Evans--A Little Bit Stronger (2011),https://www.google.com/search?q=%22Sara Evans%22+%22A Little Bit Stronger%22&ie=utf-8&oe=utf-8,3926
1/15/2011,2011,79,Big Time Rush,Big Time Rush,Big Night,Big Night,"['classical performance', 'orchestral performance']",3:16,Spotify,Nickelodeon Digital,Big Time Rush--Big Night (2011),https://www.google.com/search?q=%22Big Time Rush%22+%22Big Night%22&ie=utf-8&oe=utf-8,3927
1/22/2011,2011,71,Sunny Sweeney,Sunny Sweeney,From A Table Away,From a Table Away,[],3:36,Spotify,Republic Nashville Digital,Sunny Sweeney--From a Table Away (2011),https://www.google.com/search?q=%22Sunny Sweeney%22+%22From a Table Away%22&ie=utf-8&oe=utf-8,3928
1/22/2011,2011,81,Gwyneth Paltrow,Gwyneth Paltrow,Country Strong,Country Strong,"['album rock', 'australian rock', 'bubblegum pop', 'classic rock', 'dance rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock', 'yacht rock']",4:16,Spotify,RCA Nashville Digital,Gwyneth Paltrow--Country Strong (2011),https://www.google.com/search?q=%22Gwyneth Paltrow%22+%22Country Strong%22&ie=utf-8&oe=utf-8,3929
1/22/2011,2011,92,Travis Porter,Travis Porter,Make It Rain,Make It Rain,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4:00,Spotify,Porter House/Jive Digital,Travis Porter--Make It Rain (2011),https://www.google.com/search?q=%22Travis Porter%22+%22Make It Rain%22&ie=utf-8&oe=utf-8,3930
1/29/2011,2011,1,Britney Spears,Britney Spears,Hold It Against Me,Hold It Against Me,"['album rock', 'art rock', 'blues rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",3:49,Spotify,Jive Digital,Britney Spears--Hold It Against Me (2011),https://www.google.com/search?q=%22Britney Spears%22+%22Hold It Against Me%22&ie=utf-8&oe=utf-8,3931
1/29/2011,2011,11,Avril Lavigne,Avril Lavigne,What The Hell,What the Hell,"['melodic rap', 'philly rap', 'rap', 'trap']",3:39,Spotify,RCA 83152,Avril Lavigne--What the Hell (2011),https://www.google.com/search?q=%22Avril Lavigne%22+%22What the Hell%22&ie=utf-8&oe=utf-8,3932
1/29/2011,2011,23,Kanye West,Kanye West,H*A*M,H-A-M,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",4:37,Spotify,Roc-A-Fella/Roc Nation/Def Jam Digital,Kanye West--H-A-M (2011),https://www.google.com/search?q=%22Kanye West%22+%22H*A*M%22&ie=utf-8&oe=utf-8,3933
1/29/2011,2011,60,"JaneDear Girls, The",JaneDear Girls,Wildflower,Wildflower,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2:44,Spotify,Reprise Digital,JaneDear Girls--Wildflower (2011),https://www.google.com/search?q=%22JaneDear Girls%22+%22Wildflower%22&ie=utf-8&oe=utf-8,3934
1/29/2011,2011,61,Mann Featuring 50 Cent,Mann,Buzzin’,Buzzin',"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']",3:44,Spotify,Mercury Digital,Mann--Buzzin' (2011),https://www.google.com/search?q=%22Mann%22+%22Buzzin%27%22&ie=utf-8&oe=utf-8,3935
1/29/2011,2011,78,Cage The Elephant,Cage the Elephant,Shake Me Down,Shake Me Down,"['dance pop', 'pop']",3:31,Spotify,DSP/Jive 81760,Cage the Elephant--Shake Me Down (2011),https://www.google.com/search?q=%22Cage the Elephant%22+%22Shake Me Down%22&ie=utf-8&oe=utf-8,3936
